Step,v_hf_bsurf,v_hf_bsolv
0,1.07565E+11,11645931000
20,-4685786400,12062974000
40,15063542000,9480659300
60,-93777950000,9727210500
80,-64994712000,17070669000
100,1.22357E+11,-7031736000
120,33620635000,-6861866900
140,22810368000,3461542700
160,-52092893000,4175164200
180,-57478427000,-2226258400
200,52300548000,8312271000
220,-8398027600,-16515778000
240,36677275000,1344419200
260,-43151157000,-4326048700
280,-98361794000,-3938902800
300,2038617000,-23579697000
320,-21418129000,-6956540300
340,1.46234E+11,15857886000
360,-1.18675E+11,9205648900
380,1.1699E+11,-4871031400
400,22072891000,-7256669700
420,36770344000,-11876142000
440,48174226000,23368177000
460,-65293129000,-29435152000
480,41726654000,7003494800
500,-81957920000,-18732715000
520,22908106000,-2575078000
540,-71844021000,-22077154000
560,44860806000,15905994000
580,89666623000,12302078000
600,-1.1317E+11,3341092000
620,79419517000,42000413000
640,-1264256600,1635650500
660,-1.09381E+11,40266520000
680,17852226000,15052172000
700,-5837348100,-29531392000
720,1.13144E+11,24048911000
740,-82547563000,-14824192000
760,-15580223000,12919247000
780,25977850000,50081571000
800,-74587268000,9757994300
820,99605009000,-5478762200
840,-66711950000,-62025153000
860,56386005000,-28796213000
880,-27419479000,-29259503000
900,19706435000,-14710919000
920,35285298000,-30003014000
940,-63136658000,-11239810000
960,1.40362E+11,17315925000
980,33904905000,28232258000
1000,-68217161000,39931415000
1020,11597193000,51622497000
1040,-63801737000,13340320000
1060,70349966000,25289625000
1080,-77037208000,-12090546000
1100,1.19223E+11,8566944300
1120,-1.25887E+11,8412152400
1140,1388985800,-5060694900
1160,-18238443000,20125785000
1180,-50758572000,-7538701800
1200,1.03494E+11,18921352000
1220,-49641657000,10894286000
1240,50632846000,-21463868000
1260,-17947674000,-19332887000
1280,-20207252000,-59762365000
1300,25844569000,12464615000
1320,-32525666000,765687300
1340,40592041000,8348696000
1360,-1.23863E+11,10802208000
1380,1.73586E+11,13635185000
1400,-69983796000,1581869800
1420,-51876243000,-3119375200
1440,1.41596E+11,-12839605000
1460,-59465573000,3326400700
1480,34286308000,23297448000
1500,33850976000,-7142274000
1520,-73759677000,12601143000
1540,-6876018700,-5966885800
1560,-10904447000,18853742000
1580,80711833000,11583657000
1600,8813389400,-21414783000
1620,5945746300,-10110812000
1640,-47871042000,-26808997000
1660,1.02938E+11,-10123452000
1680,-41283899000,10671098000
1700,-95818573000,-20527906000
1720,-17595734000,-10278737000
1740,-54199847000,22373355000
1760,-80809232,23523346000
1780,78952835000,38569979000
1800,-2321093200,3729990600
1820,-31358832000,-15740164000
1840,-55315876000,-25349181000
1860,29446686000,12991683000
1880,-55854573000,-31393429000
1900,63946600000,-13320823000
1920,1.21483E+11,8085406800
1940,-1.0835E+11,-29638065000
1960,1.17462E+11,14521393000
1980,-61113713000,-67315555000
2000,3229756000,3619437500
2020,-67000613000,27756022000
2040,-20473080000,-29060409000
2060,32435390000,-18905742000
2080,-1.72664E+11,25613480000
2100,1.90308E+11,-34231187000
2120,-9624226200,27180604000
2140,78141917000,-11959663000
2160,8643893800,-35726430000
2180,-63010244000,-28884935000
2200,-96784155000,5970919400
2220,-91827872000,-7080024200
2240,1.16311E+11,14461774000
2260,-20989106000,-23670588000
2280,-17467146000,23222032000
2300,-36511575000,38510557000
2320,36351950000,19294029000
